Basildon and Billericay,East,69906,44128,0.631247675,0.670549311,0.207985859,0.084776106,0,0.031612582,0,0,0,0,0,0,0,0.005076142,0,0.093830719,0.17039615,0.175575736,0.178947225,0.155550722,0.225699448
Basingstoke,South East,82928,54713,0.659765097,0.54087694,0.281377369,0.12503427,0,0.039076636,0,0,0,0,0,0,0,0.013634785,0,0.094194558,0.180387774,0.195105325,0.185584176,0.1512991,0.193429066
Bassetlaw,East Midlands,80024,50841,0.635321903,0.552270805,0.276646801,0.065537657,0.105544738,0,0,0,0,0,0,0,0,0,0,0.082550622,0.143492642,0.140911134,0.177686093,0.178446716,0.276912793
Bath,South West,67805,52138,0.768940344,0.308738348,0.127335149,0.545072692,0.012313476,0,0,0,0,0,0,0,0,0.006540335,0,0.259119134,0.182250568,0.116431857,0.131373185,0.120743703,0.190081553
Batley and Spen,Yorkshire and The Humber,79558,52927,0.665263079,0.3602887,0.426889867,0.046516901,0.031704045,0.013074612,0,0,0,0,0,0,0,0.121525875,0,0.096682786,0.167605353,0.172979872,0.177710385,0.153987565,0.231034039
Battersea,London,79350,59977,0.755853812,0.36050486,0.455007753,0.152558481,0.0064358,0.025493106,0,0,0,0,0,0,0,0,0,0.094252341,0.342803584,0.225401369,0.139251988,0.094332967,0.103957752
Beaconsfield,South East,77720,57868,0.744570252,0.561225548,0.099467754,0,0,0.035131679,0,0,0,0,0,0,0,0.304175019,0,0.072882371,0.117093186,0.157849446,0.189476704,0.177703781,0.284994513
Beckenham,London,68662,50555,0.736287903,0.539649886,0.257620413,0.162080902,0,0.040648798,0,0,0,0,0,0,0,0,0,0.077204618,0.142355904,0.183689475,0.190459155,0.164522476,0.241768372
Bedford,East,71581,47301,0.660803845,0.430138898,0.433204372,0.097418659,0.018942517,0.020295554,0,0,0,0,0,0,0,0,0,0.102463654,0.167771762,0.182663179,0.176519253,0.153598151,0.216984001
Belfast East,Northern Ireland,66245,42445,0.640727602,0,0,0,0,0,0,0,0.491789374,0,0,0.059276711,0.448933914,0,0,0.099352978,0.184141461,0.179100405,0.165757198,0.156545577,0.21510238
Belfast North,Northern Ireland,72225,49037,0.678947733,0,0,0,0,0,0,0,0.431001081,0.470624223,0,0,0.098374697,0,0,0.121260997,0.180975073,0.167619746,0.160129521,0.161351417,0.208663245
Belfast South,Northern Ireland,69984,47352,0.676611797,0,0,0,0,0,0,0,0.246621051,0,0.571866025,0.026588106,0.143309681,0.011615138,0,0.197830589,0.200393297,0.159923433,0.137936445,0.132340328,0.171575908
Belfast West,Northern Ireland,65644,38782,0.590792761,0,0,0,0,0,0,0,0.134598525,0.538033108,0.076968697,0,0.048527667,0.201872002,0,0.143194269,0.186725664,0.159713443,0.158210423,0.162157606,0.189998595
Bermondsey and Old Southwark,London,93248,58615,0.62859257,0.16511132,0.541209588,0.266092297,0.027586795,0,0,0,0,0,0,0,0,0,0,0.1396954,0.319676554,0.201936165,0.138471203,0.107294444,0.092926234
"Berwickshire, Roxburgh and Selkirk",Scotland,74518,53146,0.713196812,0.484457908,0.047284838,0.080664584,0,0,0.387592669,0,0,0,0,0,0,0,0,0.099936326,0.142932187,0.153151862,0.207879656,0.246736708,0.14936326
Berwick-Upon-Tweed,North East,59939,42109,0.702530906,0.568690779,0.216390795,0.181813864,0,0.033104562,0,0,0,0,0,0,0,0,0,0.066246496,0.116604983,0.114638339,0.15363055,0.210523871,0.338355761
Bethnal Green and Bow,London,88262,60562,0.686161655,0.107790364,0.72738681,0.097288729,0.017849477,0.042435851,0,0,0,0,0,0,0,0.00724877,0,0.158656222,0.32265094,0.217217663,0.128334535,0.085253923,0.087886717
Beverley and Holderness,Yorkshire and The Humber,79696,53542,0.671827946,0.621007807,0.239102013,0.087239924,0,0.025736805,0,0,0,0,0,0,0,0.026913451,0,0.070482183,0.103466634,0.120333958,0.175425011,0.192824732,0.337467481
Bexhill and Battle,South East,81963,59093,0.720971658,0.636115953,0.195133095,0.123195641,0,0.045555311,0,0,0,0,0,0,0,0,0,0.069689743,0.108196279,0.109186222,0.159932054,0.182127028,0.370868675
Bexleyheath and Crayford,London,65466,43246,0.660587175,0.597881885,0.294894325,0.065185219,0,0.030014337,0,0,0,0,0,0,0,0.012024233,0,0.091322836,0.18218376,0.188052767,0.171478256,0.155732471,0.21122991
Birkenhead,North West,63762,42329,0.663859352,0.130879539,0.590375393,0.038271634,0.035176829,0.033192374,0,0,0,0,0,0,0,0.172104231,0,0.099805445,0.170569607,0.157660792,0.172784981,0.169476121,0.229703055
"Birmingham, Edgbaston",West Midlands,68828,42328,0.614982275,0.368621244,0.501252126,0.079120204,0.0247354,0.026271026,0,0,0,0,0,0,0,0,0,0.188616953,0.211356731,0.157982248,0.14357999,0.117765975,0.180698103
"Birmingham, Erdington",West Midlands,66148,35229,0.53257846,0.400777768,0.502994692,0.036929802,0.040903801,0.018393937,0,0,0,0,0,0,0,0,0,0.121549674,0.210624935,0.171185258,0.162656363,0.151517109,0.18246666
"Birmingham, Hall Green",West Midlands,80283,52911,0.659056089,0.139498403,0.678289959,0.069418457,0.016575003,0.015459923,0,0,0,0,0,0,0,0.080758254,0,0.146608943,0.218460761,0.185032498,0.162915413,0.124836361,0.162146023
"Birmingham, Hodge Hill",West Midlands,78295,45003,0.574787662,0.149812235,0.786547563,0.016887763,0.033753305,0.007288403,0,0,0,0,0,0,0,0.00571073,0,0.167434044,0.22292693,0.18990285,0.161977992,0.111446199,0.146311985
"Birmingham, Ladywood",West Midlands,74912,42118,0.56223302,0.113324469,0.791941688,0.052898998,0.019730282,0.022104563,0,0,0,0,0,0,0,0,0,0.233503861,0.29637897,0.17462413,0.123822015,0.084971294,0.08669973
"Birmingham, Northfield",West Midlands,73694,43098,0.584823731,0.463060931,0.425008121,0.045500951,0.038400854,0.022135598,0,0,0,0,0,0,0,0.005893545,0,0.110406912,0.190767519,0.155275888,0.16601133,0.15073596,0.22680239
"Birmingham, Perry Barr",West Midlands,72006,42147,0.585326223,0.267563528,0.630982039,0.045104041,0.032789997,0.020048877,0,0,0,0,0,0,0,0.003511519,0,0.141058056,0.210788643,0.179092922,0.163886234,0.137682825,0.16749132
"Birmingham, Selly Oak",West Midlands,82665,49467,0.598403194,0.309297107,0.560252289,0.064062911,0.029029454,0.037358239,0,0,0,0,0,0,0,0,0,0.263028337,0.175011911,0.1387118,0.130385462,0.118894208,0.173968283
"Birmingham, Yardley",West Midlands,74704,42678,0.57129471,0.298045832,0.547799803,0.08796101,0.052626646,0.013566709,0,0,0,0,0,0,0,0,0,0.130045007,0.209313672,0.176149877,0.160257114,0.141071145,0.183163184
Bishop Auckland,North East,68170,44805,0.657253924,0.537149872,0.35944649,0.047606294,0.055797344,0,0,0,0,0,0,0,0,0,0,0.086749835,0.140236865,0.135290723,0.169845021,0.184601011,0.283276544
Blackburn,North West,71234,44736,0.628014712,0.239985694,0.649141631,0.025259299,0.061918813,0.016563841,0,0,0,0,0,0,0,0.007130722,0,0.125355948,0.188077444,0.18993024,0.171190888,0.141372064,0.184073415
Blackley and Broughton,North West,73372,38618,0.526331571,0.245610855,0.618545756,0.04117251,0.070847791,0.023823088,0,0,0,0,0,0,0,0,0,0.116890674,0.240946535,0.20483536,0.160748922,0.127045159,0.14953335
Blackpool North and Cleveleys,North West,63692,38804,0.609244489,0.576332337,0.354808783,0.038501185,0,0.018941346,0,0,0,0,0,0,0,0.011416349,0,0.08359638,0.14150647,0.128476326,0.172817713,0.179100905,0.294502207
Blackpool South,North West,57690,32752,0.567724042,0.496061309,0.383396434,0.030776746,0.061339766,0.01718979,0,0,0,0,0,0,0,0.011235955,0,0.097877548,0.160423846,0.139682437,0.173918645,0.178878547,0.249218976
Blaenau Gwent,Wales,50739,30219,0.595577367,0.190244548,0.491809789,0.042522916,0.20566531,0.012773421,0,0.056984017,0,0,0,0,0,0,0,0.095370649,0.169358699,0.1421606,0.174074928,0.167674332,0.251360791
